"category","name","brand","sku","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","supplierName","productUrl","active"
"shirts","Men's Combed Cotton T-Shirt","Marina Yacht Wear","mens-combed-cotton-t-shirt","5","EUR","0","Navy","#ffffff","#0b1f3a","","","man","","","1","S–3XL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-combed-cotton-t-shirt-9291404.jpg?v=1781185511","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-combed-cotton-t-shirt","true"
"bottoms","Men's Short Sleeve Piqué Polo with contrasting trim","Kariban","mens-short-sleeve-pique-polo-with-contrasting-piping","10","EUR","0","Navy","#ffffff","#0b1f3a","","","man","","","1","S–3XL","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-short-sleeve-pique-polo-with-contrasting-trim-2098060.jpg?v=1781185514","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-short-sleeve-pique-polo-with-contrasting-piping","true"
"bottoms","Men's Short Sleeve Rash Guard","WET EFFECT","mens-short-sleeve-rash-guard-1","29.99","EUR","0","Grey|White","#ffffff","#0b1f3a","","","man","","","1","XS–3XL","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-short-sleeve-rash-guard-1627970.png?v=1773893950","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-short-sleeve-rash-guard-1","true"
"chef-wear","Men's Long Sleeve Chef Jacket Lars","Marina Yacht Wear","KWJM14","65","EUR","0","White|Navy|Black|Dark Grey","#ffffff","#0b1f3a","High-quality fabric ensures exceptional colorfastness and long-lasting wear, maintaining its rich color even with frequent industrial washing at temperatures up to 95°C","Professional and Elegant Kitchen Wear Upgrade your yacht crew’s galley uniform with the Men's Long Sleeve Chef Jacket Lars , blending rugged durability, sophisticated style, and premium functionality. Crafted from a high-quality blend of 65% polyester and 35% cotton with a robust weight of 215 g/m² , this chef jacket is designed to withstand the fast-paced demands of a luxury culinary environment while offering all-day comfort. Key Features: Durable Fabric: High-quality fabric ensures exceptiona","man","","","1","44–60","chef-jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-long-sleeve-chef-jacket-lars-2711707.png?v=1779776956","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-long-sleeve-chef-jacket-lars","true"
"chef-wear","Ladies Long Sleeve Chef Jacket Larissa","Marina Yacht Wear","ladies-long-sleeve-chef-jacket-larissa","65","EUR","0","White|Navy|Dark Grey|Black","#ffffff","#0b1f3a","High-quality fabric ensures exceptional colorfastness and long-lasting wear, maintaining its rich color even with frequent industrial washing at temperatures up to 95°C","Professional and Elegant Kitchen Wear Upgrade your yacht crew’s galley uniform with the Ladies Long Sleeve Chef Jacket Larissa , blending durability, sophisticated style, and premium functionality. Crafted from a high-quality blend of 65% polyester and 35% cotton with a robust weight of 215 g/m² , this chef jacket is designed to withstand the fast-paced demands of a luxury culinary environment while offering all-day comfort. Key Features: Durable Fabric: High-quality fabric ensures exceptional c","woman","","","1","34–50","chef-jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-long-sleeve-chef-jacket-larissa-7202960.png?v=1779776962","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-long-sleeve-chef-jacket-larissa","true"
"outerwear","Men's Zipped Jacket","Marina Yacht Wear","mens-zipped-jacket","55","EUR","0","White|Black|Navy|Light Grey|Dark Grey","#ffffff","#0b1f3a","","Men's Zipped Jacket – Luxury Crew Uniform Elevate your interior or deck team's appearance with the Men's Zipped Jacket. Engineered specifically for the demanding maritime environment, this jacket blends a refined silhouette with high-performance durability. Designed with a Low Shrinkage Fleece treatment, it maintains its professional fit and soft-touch feel even after intensive nautical use and frequent industrial laundering. Technical Specifications & Features : Premium Fabric Blend : 80% Organ","man","","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-zipped-jacket-7352984.png?v=1780356972","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-zipped-jacket","true"
"bottoms","Dickies Short sleeve Coveralls","Marina Yacht Wear","dickies-short-sleeve-coveralls","70","EUR","0","Noir|Khaki|Navy|Grey","#ffffff","#0b1f3a","","Engineered for Performance, Built for the Crew Keep your cool in the engine room and maintain a sharp, professional appearance on deck. Engineered specifically to meet the high standards of superyacht crew members, these Dickies Short-Sleeve Coveralls blend maritime professionalism with rugged utility. Crafted from a lightweight yet highly durable poplin blend, this uniform ensures maximum breathability and freedom of movement when navigating tight spaces, performing routine maintenance, or mana","woman|man","","","1","S–3XL","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/dickies-short-sleeve-coveralls-4129034.png?v=1780108334","Marina Yacht Wear","https://www.marinayachtwear.com/products/dickies-short-sleeve-coveralls","true"
"tops","Safety Shoes COVERGUARD","Nordways","safety-shoes-coverguard","89.9","EUR","0","Brown","#ffffff","#0b1f3a","","","woman|man","","","1","","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/safety-shoes-coverguard-3957856.png?v=1778203029","Marina Yacht Wear","https://www.marinayachtwear.com/products/safety-shoes-coverguard","true"
"tops","Men's Long Sleeve Rash Guard","WET EFFECT","unisex-long-sleeve-rash-guard-1","34.99","EUR","0","Navy|White|Black|Grey","#ffffff","#0b1f3a","","","man","","","1","XS–XXXL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-long-sleeve-rash-guard-1853092.png?v=1773893956","Marina Yacht Wear","https://www.marinayachtwear.com/products/unisex-long-sleeve-rash-guard-1","true"
"tops","Ladies Long Sleeve Rash Guard","WET EFFECT","ladies-long-sleeve-rash-guard-1","34.99","EUR","0","Grey|Navy","#ffffff","#0b1f3a","","","woman","","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-long-sleeve-rash-guard-8767064.png?v=1773893949","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-long-sleeve-rash-guard-1","true"
