"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"accessories","ATLAS - ARCADE BELT","Smallwood's","40","$","0","Black|Charcoal|Navy","#111827","#0b1f3a","","ATLAS - ARCADE BELT","woman|man","deck","","1","Standard Width/Length","cap","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/a/t/atlas-black_1_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/a/t/atlas-black_1_1.jpg"",""Charcoal"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/a/t/atlas-charcoal_1.jpg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/a/t/atlas-navy_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/atlas-arcade-belt.html","true"
"epaulettes","Epaulets Silver with Crescent","Smallwood's","40","$","0","","#e2e8f0","#0b1f3a","","Epaulets Silver with Crescent","woman|man","","","1","","epaulettes","https://www.smallwoods.com/epaulets-silver-with-crescent.html","{}","Smallwood's Yachtwear","https://www.smallwoods.com/epaulets-silver-with-crescent.html","true"
"epaulettes","Epaulets Silver with Knife & Fork","Smallwood's","40","$","0","","#e2e8f0","#0b1f3a","","Epaulets Silver with Knife & Fork","woman|man","","","1","","epaulettes","https://www.smallwoods.com/epaulets-silver-with-knife-fork.html","{}","Smallwood's Yachtwear","https://www.smallwoods.com/epaulets-silver-with-knife-fork.html","true"
"epaulettes","Epaulets with Gold Anchor","Smallwood's","40","$","0","","#e2e8f0","#0b1f3a","","Epaulets with Gold Anchor","woman|man","","","1","","epaulettes","https://www.smallwoods.com/epaulets-with-gold-anchor.html","{}","Smallwood's Yachtwear","https://www.smallwoods.com/epaulets-with-gold-anchor.html","true"
"epaulettes","Epaulets with Gold Propeller","Smallwood's","40","$","0","","#e2e8f0","#0b1f3a","","Epaulets with Gold Propeller","woman|man","","","1","","epaulettes","https://www.smallwoods.com/epaulets-with-gold-propeller.html","{}","Smallwood's Yachtwear","https://www.smallwoods.com/epaulets-with-gold-propeller.html","true"
"shirts","Men's Epaulet Shirt","Smallwood's","58","$","0","Black|White","#ffffff","#0b1f3a","96% polyester & 4% lycra","Our Men's Epaulet Shirt was designed with sustainability and style in mind. Crafted from a premium recycled polyester fabric blend of 96%polyester and 4%lycra.","man","captain","","1","SM–XXL","shirt","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/2/_2844_full_front_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/2/_2844_full_front_1.jpg"",""White"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/2/_2727_full_front_1_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/men-s-epaulet-shirt.html","true"
"bottoms","Men's Horizon Cargo Short","Smallwood's","78","$","0","Black","#111827","#0b1f3a","","Introducing our Men’s Cargo Shorts with a 9” inseam. Featuring a convenient zipper pocket on the left leg, spacious cargo pockets, and more.","man","engineer","","1","30–44","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/3/_3035_front_full_alt_1.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/_/3/_3035_front_full_alt_1.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/men-s-horizon-cargo-short.html","true"
"bottoms","Men's Pacific Short","Smallwood's","70","$","0","Black|Charcoal|Navy|Stone|Grey","#111827","#0b1f3a","","This lightweight hybrid short has the feel of your favorite board shorts, but the look of a true yachting professional.","man","deck","","1","30–44","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4430_72dpi_black_1_2.jpg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4430_72dpi_black_1_2.jpg"",""Charcoal"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4430_1aa_1_1_2.jpg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4430_72dpi_navy_2_1.jpg"",""Stone"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4430_72dpi_stone_2_1.jpg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4430_72dpi_grey_1_2.jpg""}","Smallwood's Yachtwear","https://www.smallwoods.com/mens-4001sp-short.html","true"
"tops","Men's Elements (Shorter) Boardshort","Smallwood's","65","$","0","Black|Navy","#111827","#0b1f3a","","The Men's Elements boardshorts are made of technical stretch material. It's zipper side pocket and spandex fly offer functionality and comfort.","man","deck","","1","28–42","polo","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4020_1_1.jpeg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4020_1_1.jpeg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4020_2_1_1_1.jpeg""}","Smallwood's Yachtwear","https://www.smallwoods.com/mens-elements-boardshort-2957.html","true"
"bottoms","Men's Horizon Pants","Smallwood's","88","$","0","Black|Navy|Stone|White|Grey","#ffffff","#0b1f3a","","Made of an engineered fabric that delivers comfort, low maintenance, good looks, and is technically created to be perfect for onboard service.","man","deck","","1","30–44","shorts","https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4545_2_1.jpeg","{""Black"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4545_2_1.jpeg"",""Navy"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4545_3_1_1.jpeg"",""Stone"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4545_4_1.jpeg"",""Grey"":""https://www.smallwoods.com/media/catalog/product/cache/0daeb07bb1d294c1f281fab47369d56a/2/l/2l7a4545_1.jpeg""}","Smallwood's Yachtwear","https://www.smallwoods.com/mens-horizon-pants.html","true"
