"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"spa-wear","Chinese Style Tunic","Sys","51.95","£","0","","#e2e8f0","#0b1f3a","100% performance polyester high twist yarn breathable lycra","Pro-stretch fabric 100% performance polyester high twist yarn Breathable  Lycra for ease of movement and crease recovery Colours - White Only Matching Trousers Sizes 6 - 18","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/806378316-max-300x300.jpg","{""806378316"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/806378316-max-800x800.jpg""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/chinese-style-tunic","true"
"spa-wear","Wrap Style Tunic","Sys","59.8","£","0","TN808 Charcoal|TN808 Clay|TN808 Plum","#e2e8f0","#0b1f3a","","Tunic with mock wrap detail at the front","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN808%20Charcoal-max-300x300.JPG","{""TN808 Charcoal"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN808%20Charcoal-max-800x800.JPG"",""TN808 Clay"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN808%20Clay-max-800x800.JPG"",""TN808 Plum"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN808%20Plum-max-800x800.JPG""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/wrap-style-tunic","true"
"spa-wear","Classic Press Stud Tunic","Simon Jersey","42.45","£","0","FM1140-Model|FM1140-back|FM1140_BLK MOD|FM1140_DETAIL|Navy|Grey","#e2e8f0","#0b1f3a","","Designed with a safety focus, the smooth press stud fastening prevents scratching, catching and cannot come loose, allowing the wearer to feel confident in their uniform.   ","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/FM1140-Model-max-300x300.jpg","{""FM1140-Model"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/FM1140-Model-max-800x800.jpg"",""FM1140-back"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/FM1140-back-max-800x800.jpg"",""FM1140_BLK MOD"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/Simon%20Jersey_FM1140_BLK%20MOD-max-800x800.jpg"",""FM1140_DETAIL"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/Simon%20Jersey_FM1140_DETAIL-max-800x800.jpg"",""Navy"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/FM112006_Navy-max-800x800.jpg"",""Grey"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/FM112006_Grey-max-800x800.jpg""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/classic-press-stud-tunic","true"
"spa-wear","Mika Tunic","Premier","24","£","0","Model|blk","#e2e8f0","#0b1f3a","","Short Sleeve Tunic","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PR681_Model-max-300x300.jpeg","{""Model"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PR681_Model-max-800x800.jpeg"",""blk"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PR681_blk-max-800x800.jpeg""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/mika-tunic","true"
"spa-wear","Scooped Angle Tunic","Simon Jersey","39","£","0","model|scooped-angle-back|scooped-angle-neckline","#e2e8f0","#0b1f3a","","The perfect combination of sleek design and practicality creates a truly modern beauty tunic.  ","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/scooped-angle-tunic_model-max-300x300.jpg","{""model"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/scooped-angle-tunic_model-max-800x800.jpg"",""scooped-angle-back"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/scooped-angle-back-max-800x800.jpg"",""scooped-angle-neckline"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/scooped-angle-neckline-max-800x800.jpg""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/sccoped-angle-tunic","true"
"spa-wear","Asymmetrical Tunic","Simon Jersey","36.4","£","0","model|asymmetrical-tunic-white-back|asymmetrical-tunic-black|asymmetrical-tunic-detail|asymmetrical-tunic-graphite","#e2e8f0","#0b1f3a","","Simple and classic in Style Tunic.  Stand collar","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/asymmetrical-tunic_model%201-max-300x300.jpg","{""model"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/asymmetrical-tunic_model%201-max-800x800.jpg"",""asymmetrical-tunic-white-back"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/asymmetrical-tunic-white-back-max-800x800.jpg"",""asymmetrical-tunic-black"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/asymmetrical-tunic-black-max-800x800.jpg"",""asymmetrical-tunic-detail"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/asymmetrical-tunic-detail-max-800x800.jpg"",""asymmetrical-tunic-graphite"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/asymmetrical-tunic-graphite-max-800x800.jpg""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/asymmetrical-tunic","true"
"spa-wear","Shaped Neck Tunic","Simon Jersey","33.8","£","0","shaped-neck-tunic model|grey detail|shaped-neck-tunic-black|shaped-neck-tunic-black-pockets|shaped-neck-tunic-petrol|back","#e2e8f0","#0b1f3a","","Designed to be fashion forward, our Shaped Neck Tunic features a unique shaped neckline with princess seams for a fitted look, adding a touch of style to your uniform.  ","woman|man","spa","","1","","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-tunic%20model-max-300x300.jpg","{""shaped-neck-tunic model"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-tunic%20model-max-800x800.jpg"",""grey detail"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-tunic_grey%20detail-max-800x800.jpg"",""shaped-neck-tunic-black"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-tunic-black-max-800x800.jpg"",""shaped-neck-tunic-black-pockets"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-tunic-black-pockets-max-800x800.jpg"",""shaped-neck-tunic-petrol"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-tunic-petrol-max-800x800.jpg"",""back"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/shaped-neck-petrol_back-max-800x800.jpg""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/shaped-neck-tunic","true"
"bottoms","Straight Leg Trouser","Sys","42.9","£","0","Black|White|Navy|Charcoal|Blueberry|Plum","#ffffff","#0b1f3a","","Chic and leg slimming trousers Comfortable fit with wide waistband and two button closure Front zip for easy fastening Double stitching and French seams in the crotch for extra strength Colours: Black, White , Navy , Charcoal, Blueberry, Plum Sizes: UK6 - UK24  ","woman|man","deck","","1","UK6–UK24","shorts","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS943T_White-max-300x300.JPG","{""White"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS943T_White-max-800x800.JPG"",""Charcoal"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS943T_Charcoal-max-800x800.JPG"",""Blueberry"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS943T_Blueberry-max-800x800.JPG"",""Black"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS743T_Black-max-800x800.JPG""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/straight-leg-trouser-with-hidden-pocket","true"
"bottoms","Skinni Capri Trouser","Sys","36.45","£","0","White","#ffffff","#0b1f3a","100% performance polyester","Capri Style Trouser Pro-stretch fabric: 100% performance polyester with a revolutionary, silver, anti-bacterial finish. The anti-stain and anti-static properties make it ideal for workwear. It is cool, comfortable and easy care, needing only a light press prior to use. Style properties: Waistband which sits below the natural waistline. Double button and front zip fastening. Inside leg length: 64cm. Colours - White  Sizes 6 - 18","woman|man","deck","","1","","shorts","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS772_White-max-300x300.PNG","{""White"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/PS772_White-max-800x800.PNG""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/skinni-capri-trouser","true"
"spa-wear","Linen Look Trousers","Gill2 100x100","51.95","£","0","Navy|Charcoal|Clay|Plum","#0b1f3a","#0b1f3a","","Chic and trendy cigarette style trousers Comfortable fit with wide waistband and two button closure Ankle vent to allow trousers to sit neatly on the shoe  Front zip for easy fastening Double stitching and French seams in the crotch for extra strength Inside leg - approximately 76/77cm Colours: Navy, Charcoal, Clay, Plum Sizes: 6-24 Matches TN808 Wrap Style Tunic","woman|man","spa","","1","6–24MatchesTN808WrapStyleTunic","shirt","https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN473%20Linen%20trousers%20-%20Navy-max-300x300.JPG","{""TN473 Linen trousers - Navy"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN473%20Linen%20trousers%20-%20Navy-max-800x800.JPG"",""TN473 Linen trousers - Charcoal"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN473%20Linen%20trousers%20-%20Charcoal-max-800x800.JPG"",""TN473 Linen trousers - Clay"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN473%20Linen%20trousers%20-%20Clay-max-800x800.JPG"",""TN473 Linen trousers - Plum"":""https://www.thesuperyachtshop.com/media/com_eshop/products/resized/TN473%20Linen%20trousers%20-%20Plum-max-800x800.JPG""}","The Superyacht Shop","https://www.thesuperyachtshop.com/clothing/beautician-masseuse-housekeeping/linen-look-trousers","true"
