"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"shirts","Linen Shirt","EasyWear","141.67","EUR","0","","#e2e8f0","#0b1f3a","100% premium linen lightweight breathable sustainable fabric","Fabric: 100% Premium Linen Lightweight breathable sustainable fabric Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","captain","","1","XS–XL","shirt","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/LinenShirt.png?v=1753769249","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/linen-shirt","true"
"dresses","Shirt Dress by EasyWear","EasyWear","175","EUR","0","","#e2e8f0","#0b1f3a","100% premium linen","Fabric: 100% Premium Linen Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","XS–XL","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Shirt_Dress_Linen.jpg?v=1713354907","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/shirt-dress-by-easywear","true"
"bottoms","Linen Skirt by EasyWear","EasyWear","158.33","EUR","0","","#e2e8f0","#0b1f3a","","Fabric: 100% Premium Sustainable Linen Styling: Designed for a relaxed oversized fit. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","interior|chief-stew","","1","XS–L","shorts","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/image00015_2.jpg?v=1713355306","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/linen-skirt-by-easywear","true"
"tops","Skye Supima T-shirt","Coco & Kandy","70","EUR","0","","#e2e8f0","#0b1f3a","100% supima® cotton lightweight fabric 150g","Fabric: 100% Supima® Cotton Lightweight fabric 150g/m2 Styling: Designed for a more fitted fit. Effortlessly pair it with skirts, pants or shorts, it’s the versatile t-shirt that no wardrobe should be without. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–L","polo","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Skye-T-shirt-scaled-e1701724799360.jpg?v=1711628679","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/skye-supima-t-shirt","true"
"dresses","Maya Summer Dress","Coco & Kandy","133.33","EUR","0","","#e2e8f0","#0b1f3a","95% bamboo & 5% elastane medium","Fabric: 95% Bamboo 5% Elastane Medium weight jersey fabric 240g/m2 Styling: Designed for a relaxed fit. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","L–XS","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/J0A9527-scaled-e1701725843584.jpg?v=1711628663","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/maya-summer-dress","true"
"dresses","Calypso Maxi Dress","Coco & Kandy","183.33","EUR","0","","#e2e8f0","#0b1f3a","100% gots organic cotton","Fabric: 100% GOTS Organic Cotton Weight 181 g/m2 Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","M–L","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/CalypsoMaxiDressBack-01-scaled-e1701632995245.jpg?v=1711628632","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/calypso-maxi-dress-2","true"
"dresses","Yarra Linen Dress","Coco & Kandy","165","EUR","0","","#e2e8f0","#0b1f3a","","Fabric: 100% Premium Linen Jersey Lightweight breathable sustainable fabric Styling: Designed for a relaxed fit. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","XS–M","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/bluedress01-Copy.png?v=1711628626","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/yarra-linen-dress","true"
"accessories","Sierra Kimono","Coco & Kandy","150","EUR","0","","#e2e8f0","#0b1f3a","90% vegan silk & 10% lightweight jersey fabric 160g","Fabric: SUPIMA® Cotton 90% Vegan Silk 10% Lightweight jersey fabric 160g/m2 Styling: Can be worn with a belt or relaxed . Care Instructions: Hand Wash Do not bleach Air Dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","One size","cap","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Kimono-Silk-Supima-Side-scaled-e1701105969497.jpg?v=1711628609","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/sierra-kimono-supima-vegan-silk","true"
"dresses","Marissa Boat Neck Shift Dress","vendor-unknown","145","EUR","0","","#e2e8f0","#0b1f3a","96% lenzing modal® & 4% elastane fabric is wrinkle free micromodal medium","Fabric: 96% Lenzing Modal® 4% Elastane Fabric is wrinkle free MicroModal medium weight 340g/m2 Styling: Designed for a semi-close fit. If you prefer a more fitted look, can easily go a size down as the fabric offers comfortable stretch for better movement. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","S–M","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Marissa-Bordeaux-Front-Coco-Kandy-2-scaled.jpg?v=1711628600","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/marissa-dress-fitted-shift-dress","true"
"dresses","Calypso Maxi Dress","Coco & Kandy","183.33","EUR","0","","#e2e8f0","#0b1f3a","100% recycled polyester","Fabric: 100% Recycled Polyester Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","XS–M","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Calypso-Maxi-dress-Front-scaled-e1699867502792_174f82c0-a377-40f2-b307-f1aa59e06de5.jpg?v=1711628587","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/calypso-maxi-dress-1","true"
"tops","Linen Cropped Top","EasyWear","85","EUR","0","Light Blue|Black","#60a5fa","#0b1f3a","100% premium linen lightweight breathable sustainable fabric","Fabric: 100% Premium Linen Lightweight breathable sustainable fabric Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–XL","polo","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/TopandShortsLinen.jpg?v=1713353973","""{\""Light Blue\"":\""https://cdn.shopify.com/s/files/1/0734/7493/3002/files/TopandShortsLinen.jpg?v=1713353973\"",\""Black\"":\""https://cdn.shopify.com/s/files/1/0734/7493/3002/files/TopandShortsLinen.jpg?v=1713353973\""}""","Coco & Kandy Crew","https://cocoandkandy.com/products/linen-cropped-top","true"
"dresses","Yarra Linen Dress","Coco & Kandy","125","EUR","0","","#e2e8f0","#0b1f3a","","Fabric: 100% Premium Linen Jersey Lightweight breathable sustainable fabric Styling: Designed for a relaxed fit. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","XS–M","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/YarraLinenDress2.jpg?v=1713367232","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/linen-beach-dress","true"
"dresses","Maeva Dress","Coco & Kandy","150","EUR","0","","#e2e8f0","#0b1f3a","96% supima® cotton & 4% elastane medium","Fabric: 96% Supima® Cotton 4% Elastane Medium weight jersey fabric 190g/m2 Styling note: Fitted style designed with fabric that is stretchy and allows movement. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","XS–M","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Maeva_Mini_Dress.jpg?v=1713210961","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/short-dress-blue","true"
"bottoms","Solana Skirt and Top","Coco & Kandy","125","EUR","0","","#e2e8f0","#0b1f3a","96% bamboo & 4% elastane medium","Fabric: 96% Bamboo 4% Elastane Medium weight jersey fabric 240g/m2 Styling: Designed for a relaxed fit, however you can go a size down for more fitted style or up to wear it as a maxi dress. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","interior|chief-stew","","1","XS–S","shorts","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Solana-Set-skirt-and-top-STUDIO-scaled.jpg?v=1711628517","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/solana-skirt-and-top","true"
"dresses","Linen Maxi Dress - Sunlight by EasyWear","EasyWear","200","EUR","0","","#e2e8f0","#0b1f3a","100% premium linen","Fabric: 100% Premium Linen Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours Colour: Light grey and white","woman","interior|chief-stew","","1","xXS–XL","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Linen_Dress.png?v=1752043382","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/linen-maxi-dress-by-easywear","true"
"tops","Makani Luxe T-Shirt-Black","Coco & Kandy","60","EUR","0","","#e2e8f0","#0b1f3a","87% tencel & 13% elastane standard 100 oeko-tex certified","Fabric: 87% Tencel 13% Elastane Standard 100 Oeko-Tex certified, the fiber in our PYRATEX® power fabrics originates and are produced in Austria: they are renewable, wood-based fibers, developed with various tree species, including eucalyptus, spruce, pine, birch and beech. 275g/m2 Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–L","polo","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Makani-Luxe-T-shirt-Black.jpg?v=1711628608","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/makani-luxe-t-shirt-black","true"
"bottoms","Luxury Linen Nordic Blue Trousers","Coco & Kandy","100","EUR","0","","#e2e8f0","#0b1f3a","100% belgian linen lightweight fabric 190g","Fabric: 100% Belgian Linen Lightweight fabric 190g/m2 Styling: Trousers that allows movement and comfort. Designed by us, styled by you to wear whenever or wherever. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–L","shorts","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/pants_blue-scaled.jpg?v=1711628583","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/luxury-linen-nordic-blue-trousers","true"
"tops","Rose Open Back Top","Coco & Kandy","50","EUR","0","","#e2e8f0","#0b1f3a","63% tencel™ lyocell & 31% cotton & 6% elastane lightweight jersey fabric 155g","Fabric: 63% TENCEL™ Lyocell 31% Cotton 6% Elastane Lightweight jersey fabric 155g/m Styling: Designed for a fitted style. Can go a size down as the fabric offers stretch and movement. The colour of the garment is in the nude tones. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–M","polo","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/COVER-3-ROSE-1-e1664905275140.jpg?v=1711628563","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/rose-open-back-top","true"
"bottoms","Sierra Wide Leg Trousers","Coco & Kandy","135","EUR","0","","#e2e8f0","#0b1f3a","96% lenzing modal® & 4% elastane medium","Fabric: 96% Lenzing Modal® 4% Elastane Medium weight jersey fabric 240g/m2 Styling: Designed for a relaxed oversized fit. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","","shorts","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/AirBrush_20220822212106-1-e1666967074502.jpg?v=1711628543","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/sierra-trousers-modal","true"
"bottoms","Sierra Wide Leg Trousers","Coco & Kandy","135","EUR","0","","#e2e8f0","#0b1f3a","88% silk & 10% cashmere & 2% lightweight jersey fabric 100g","Fabric: Lyocell 88% Silk 10% Cashmere 2% Lightweight jersey fabric 100g/m2 Styling: Sheer and stretchy fabric that allows movement and comfort. Designed by us, styled by you to wear whenever or wherever. Care Instructions: Hand wash only Do not bleach Flat dry Iron on low temperature inside out","woman|man","deck","","1","One","shorts","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/AirBrush_20220827085857-e1662562107853.jpg?v=1711628513","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/sierra-palazzo-cashmeretrousers","true"
"tops","Makani Luxe T-Shirt","Coco & Kandy","50","EUR","0","","#e2e8f0","#0b1f3a","96% viscose & 4% elastane medium","Fabric: 96% Viscose 4% Elastane Medium weight jersey fabric 200g/m2 Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–L","polo","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Makani-Halie-Web-scaled.jpg?v=1711628494","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/makani-luxe-t-shirt","true"
"dresses","Alina Mini Shirt Dress","Coco & Kandy","165","EUR","0","","#e2e8f0","#0b1f3a","53% cupro & 47% lenzing™ ecovero™ medium","Fabric: 53% Cupro, 47% LENZING™ ECOVERO™ Medium weight jersey 200g2m Styling: Designed for a semi-close fit. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman","interior|chief-stew","","1","XS–M","dress","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Alina_Dress_Cupro_Studio.jpg?v=1713204389","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/alina-shirt-dress","true"
"tops","Alya Organic Cotton Top - Long Sleeve","Coco & Kandy","58.33","EUR","0","","#e2e8f0","#0b1f3a","95% gots certified organic cotton & 5% elastane lightweight jersey fabric 170g","Fabric: 95% GOTS Certified Organic Cotton 5% Elastane Lightweight jersey fabric 170g/m2 Styling: Designed for a relaxed fit. The fabric offers stretch for comfort and movement. Care Instructions: Wash 30° Do not bleach Do not tumble dry Iron on low temperature Do not dry clean Wash inside out with similar colours","woman|man","deck","","1","XS–L","polo","https://cdn.shopify.com/s/files/1/0734/7493/3002/files/Alya_Top_Long_Sleeve.jpg?v=1713205089","""{}""","Coco & Kandy Crew","https://cocoandkandy.com/products/alya-long-sleeve-top","true"
