"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"accessories","ZenTherm Neoprene Glove - Black","Gill Marine","49.95","EUR","0","","#e2e8f0","#0b1f3a","","Designed as part of the ZenTherm range, the ZenTherm Glove delivers high-performance thermal protection for cold-weather dinghy sailing. Constructed with 3mm double-lined neoprene, it offers a balance of insulation and flexibility, keeping hands warm without compromising control or feel. Built for durability and comfort, the glove features glued and blindstitched seams to reduce water ingress and enhance long-term wear. The 4-way super stretch neoprene moves with you, while a silicon grip patter","woman|man","deck","","1","XS–XXL","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/7674-BLK01PRODUCTGALLERY1.jpg?v=1772534822","""{}""","Gill","https://www.gillmarine.com/products/zentherm-neoprene-glove-black","true"
"accessories","Verso Cap - Navy","Gill Marine","32.95","EUR","0","","#e2e8f0","#0b1f3a","","Whatever your water-based adventure, the Verso Cap will help you keep your cool. This lightweight performance cap features a UPF 50+ fabric, wicking inner headband, laser-cut ventilation and an anti-glare peak to protect from the sun, whilst the removable retainer is an essential feature in breezy conditions.","woman|man","deck","","1","1SIZE","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/156-NAV06PRODUCTGALLERY1.jpg?v=1772534754","""{}""","Gill","https://www.gillmarine.com/products/verso-cap-navy","true"
"accessories","Verso Cap - Light Gray","Gill Marine","32.95","EUR","0","","#e2e8f0","#0b1f3a","","Whatever your water-based adventure, the Verso Cap will help you keep your cool. This lightweight performance cap features a UPF 50+ fabric, wicking inner headband, laser-cut ventilation and an anti-glare peak to protect from the sun, whilst the removable retainer is an essential feature in breezy conditions.","woman|man","deck","","1","1SIZE","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/156-GRE15PRODUCTGALLERY1.jpg?v=1772534750","""{}""","Gill","https://www.gillmarine.com/products/verso-cap-light-grey","true"
"accessories","Regatta Cap - Graphite","Gill Marine","27.95","EUR","0","","#e2e8f0","#0b1f3a","","When the heat is on, you need to keep your focus. Our Regatta Cap is style and substance in one. The sleek design with simple branding and useful reflective detailing is complemented with feature-packed fabrics. The headband cleverly wicks moisture away from the skin to help keep you cool and comfortable.","woman|man","deck","","1","1SIZE","cap","","""{}""","Gill","https://www.gillmarine.com/products/regatta-cap-graphite","true"
"accessories","Verso Cap - White","Gill Marine","32.95","EUR","0","","#e2e8f0","#0b1f3a","","Whatever your water-based adventure, the Verso Cap will help you keep your cool. This lightweight performance cap features a UPF 50+ fabric, wicking inner headband, laser-cut ventilation and an anti-glare peak to protect from the sun, whilst the removable retainer is an essential feature in breezy conditions.","woman|man","deck","","1","1SIZE","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/156-WHI01PRODUCTGALLERY1.jpg?v=1772534749","""{}""","Gill","https://www.gillmarine.com/products/verso-cap-white","true"
"accessories","Verso Cap - Black","Gill Marine","32.95","EUR","0","","#e2e8f0","#0b1f3a","","Whatever your water-based adventure, the Verso Cap will help you keep your cool. This lightweight performance cap features a UPF 50+ fabric, wicking inner headband, laser-cut ventilation and an anti-glare peak to protect from the sun, whilst the removable retainer is an essential feature in breezy conditions.","woman|man","deck","","1","1SIZE","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/156-BLK01PRODUCTGALLERY1.jpg?v=1772534749","""{}""","Gill","https://www.gillmarine.com/products/verso-cap-black","true"
"accessories","Regatta Cap - Medium Gray","Gill Marine","27.95","EUR","0","","#e2e8f0","#0b1f3a","","When the heat is on, you need to keep your focus. Our Regatta Cap is style and substance in one. The sleek design with simple branding and useful reflective detailing is complemented with feature-packed fabrics. The headband cleverly wicks moisture away from the skin to help keep you cool and comfortable.","woman|man","deck","","1","1SIZE","cap","","""{}""","Gill","https://www.gillmarine.com/products/regatta-cap-medium-grey","true"
"accessories","Marine Sailing Cap - Navy","Gill Marine","24.95","EUR","0","","#e2e8f0","#0b1f3a","","The Marine Cap is a versatile, essential piece for any sailing or water activity. With a classic 6-panel design and non-corrosive rear metal adjustor, it ensures a secure, comfortable fit. Shielding you from the sun and rain, its practical, no-button construction and embroidered logo offer both functionality and style. Ideal for life on the water.","woman|man","deck","","1","1SIZE","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/139-NAV06PRODUCTGALLERY1.jpg?v=1772534682","""{}""","Gill","https://www.gillmarine.com/products/marine-sailing-cap-navy","true"
"tops","Regatta Visor - Black","Gill Marine","29.95","EUR","0","","#e2e8f0","#0b1f3a","","Designed to perform, our Regatta Visor features 50+ UV protection and a moisture wicking inner headband to keep you comfortable all day. Quick drying, with a corrosion-proof retainer clip, wear this visor for any activity on the water where you need some extra protection.","woman|man","deck","","1","1SIZE","polo","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/152-BLK01PRODUCTGALLERY1_6bc26bb6-b5d4-4b24-a556-d2e3a8b0083e.jpg?v=1773396403","""{}""","Gill","https://www.gillmarine.com/products/regatta-visor-black","true"
"accessories","Marine Sailing Cap - Graphite","Gill Marine","24.95","EUR","0","","#e2e8f0","#0b1f3a","","The Marine Cap is a versatile, essential piece for any sailing or water activity. With a classic 6-panel design and non-corrosive rear metal adjustor, it ensures a secure, comfortable fit. Shielding you from the sun and rain, its practical, no-button construction and embroidered logo offer both functionality and style. Ideal for life on the water.","woman|man","deck","","1","1SIZE","cap","https://cdn.shopify.com/s/files/1/0776/3984/4057/files/139-GRA01PRODUCTGALLERY1.jpg?v=1772534684","""{}""","Gill","https://www.gillmarine.com/products/marine-sailing-cap-graphite","true"
