"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"tops","Dresses & Jumpsuits","Dresses &","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/formal","true"
"tops","Shirts & Blouses","Shirts &","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/formal","true"
"tops","Skorts & Skirts","Skorts &","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/formal","true"
"bottoms","Shorts & Trousers","Shorts &","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","shorts","","{}","Sea Design","https://sea-design.com/page/shop/formal","true"
"epaulettes","Epaulettes & Accessories","Epaulettes &","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","","","1","","epaulettes","","{}","Sea Design","https://sea-design.com/page/shop/formal","true"
"bottoms","Shorts","Shorts","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","shorts","","{}","Sea Design","https://sea-design.com/page/shop/bottoms","true"
"tops","Skorts","Skorts","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/bottoms","true"
"tops","Skirts","Skirts","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/bottoms","true"
"bottoms","Trousers","Trousers","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","shorts","","{}","Sea Design","https://sea-design.com/page/shop/bottoms","true"
"tops","Ladies' Shirts & Blouses","Ladies' Shirts","0","EUR","0","","#ffffff","#0b1f3a","","","woman","interior|chief-stew","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/shirts-blouses","true"
"tops","Men's Shirts","Men's Shirts","0","EUR","0","","#ffffff","#0b1f3a","","","man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/shirts-blouses","true"
"tops","Ladies' Polos","Ladies' Polos","0","EUR","0","","#ffffff","#0b1f3a","","","woman","interior|chief-stew","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/polos","true"
"tops","Men's Polos","Men's Polos","0","EUR","0","","#ffffff","#0b1f3a","","","man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/polos","true"
"tops","Long Sleeve","Long Sleeve","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/polos","true"
"tops","Ladies' T-Shirts","Ladies' T-Shirts","0","EUR","0","","#ffffff","#0b1f3a","","","woman","interior|chief-stew","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/t-shirts","true"
"tops","Men's T-Shirts","Men's T-Shirts","0","EUR","0","","#ffffff","#0b1f3a","","","man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/tops/t-shirts","true"
"tops","Fleeces","Fleeces","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/midlayers","true"
"tops","Knitwear","Knitwear","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/midlayers","true"
"tops","Hoodies & Sweatshirts","Hoodies &","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/midlayers","true"
"tops","Jackets","Jackets","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","polo","","{}","Sea Design","https://sea-design.com/page/shop/jackets-gilets-foul-weather","true"
"outerwear","Softshell","Softshell","0","EUR","0","","#ffffff","#0b1f3a","","","woman|man","deck","","1","","jacket","","{}","Sea Design","https://sea-design.com/page/shop/jackets-gilets-foul-weather","true"
