"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"bottoms","Gill Mens OS3 Coastal Waterproof Trousers","Gill","160","EUR","0","Black","#111827","#0b1f3a","52% recycled nylon","The OS3 Coastal Pant offers technical comfort and versatility, created using our XPLORE® 2-layer fabric and treated with our exclusive fabric technology for improved waterproofness, breathability and durability. The Coastal Pants are fully lined with drainage facility and feature reinforced seat and knees to provide warmth and protection you can be confident in. The semi-elasticated waist and cargo pockets are a practical asset to these pants to keep you performing with ease. FABRIC: 52% Recycle","man","deck","","1","XS–3XL","shorts","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/OS33P-BLK01PRODUCTGALLERY1.webp?v=1779404410","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/OS33P-BLK01PRODUCTGALLERY1.webp?v=1779404410\""}""","Wave Uniforms","https://www.waveuniforms.com/products/gill-mens-os3-coastal-waterproof-trousers","true"
"outerwear","Zhik Mens OFS700 Offshore Sailing Salopette","Zhik","319.95","EUR","0","Black","#111827","#0b1f3a","","The OFS700™ Offshore Sailing Salopette delivers high-performance offshore protection with a unisex fit and practical design. Built from advanced 3-layer laminated fabric and featuring a women-specific drop-seat entry, it offers complete waterproofing, elite breathability and long-lasting durability. Reinforced seat and knee zones, articulated panels and secure storage all come together to support extended wear in serious conditions. Pair with the OFS700™ Jacket for a seamless offshore system. ​ ","man","interior|chief-stew","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_144147.png?v=1778848947","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_144147.png?v=1778848947\""}""","Wave Uniforms","https://www.waveuniforms.com/products/zhik-mens-ofs700-offshore-sailing-salopette","true"
"outerwear","Zhik Ladies OFS700 Offshore Sailing Salopette","Zhik","319.95","EUR","0","Black","#111827","#0b1f3a","","The OFS700™ Offshore Sailing Salopette delivers high-performance offshore protection with a unisex fit and practical design. Built from advanced 3-layer laminated fabric and featuring a women-specific drop-seat entry, it offers complete waterproofing, elite breathability and long-lasting durability. Reinforced seat and knee zones, articulated panels and secure storage all come together to support extended wear in serious conditions. Pair with the OFS700™ Jacket for a seamless offshore system. ​ ","woman","interior|chief-stew","","1","XS–XL","jacket","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_143808.png?v=1778848726","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_143808.png?v=1778848726\""}""","Wave Uniforms","https://www.waveuniforms.com/products/zhik-ladies-ofs700-offshore-sailing-salopette","true"
"outerwear","Zhik Ladies OFS700 Offshore Sailing Jacket","Zhik","459.95","EUR","0","Black|Blue Teal","#111827","#0b1f3a","","The OFS700™ Offshore Sailing Jacket is built for tough offshore conditions, combining three-layer laminated waterproof protection with breathable performance and all-day comfort. Developed from our Ocean range technology, it features an extended fit, modular face mask, and storm-ready collar to shield you from wind and water. With durable reinforcements, customisable adjustments and streamlined storage, this jacket is made for serious weather and serious performance. Advanced 3-layer laminated c","woman","interior|chief-stew","","1","XS–XL","jacket","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_143246.png?v=1778848421","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_143246.png?v=1778848421\"",\""Blue Teal\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-15_143237.png?v=1778848421\""}""","Wave Uniforms","https://www.waveuniforms.com/products/zhik-ladies-ofs700-offshore-sailing-jacket","true"
"outerwear","Zhik Mens OFS600 Offshore Cruising Jacket","Zhik","319.95","EUR","0","Black|Blue Teal|Red","#111827","#0b1f3a","","The Men’s OFS600™ Offshore Cruising Jacket offers high-visibility protection and comfort for sailors venturing into inshore, coastal or offshore conditions. With a breathable 2-layer waterproof shell, mesh lining and essential offshore detailing, it’s built for extended wear in unpredictable environments. Durable, versatile and tailored for movement, this jacket combines Zhik’s proven performance with standout colour visibility for serious cruising. Advanced 2-layer construction with PU Micropor","man","deck","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_162808.png?v=1778769223","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_162808.png?v=1778769223\"",\""Blue Teal\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_162843.png?v=1778769223\"",\""Red\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_162831.png?v=1778769224\""}""","Wave Uniforms","https://www.waveuniforms.com/products/zhik-mens-ofs600-offshore-cruising-jacket","true"
"outerwear","Zhik Mens OFS700 Offshore Sailing Jacket","Zhik","459.95","EUR","0","Black|Blue Teal|Red","#111827","#0b1f3a","","The OFS700™ Offshore Sailing Jacket is built for tough offshore conditions, combining three-layer laminated waterproof protection with breathable performance and all-day comfort. Developed from our Ocean range technology, it features an extended fit, modular face mask, and storm-ready collar to shield you from wind and water. With durable reinforcements, customisable adjustments and streamlined storage, this jacket is made for serious weather and serious performance. Advanced 3-layer laminated c","man","deck","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_161734.png?v=1778768628","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_161734.png?v=1778768628\"",\""Blue Teal\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_161806.png?v=1778768628\"",\""Red\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/Captura_de_pantalla_2026-05-14_161753.png?v=1778768628\""}""","Wave Uniforms","https://www.waveuniforms.com/products/zhik-mens-ofs700-offshore-sailing-jacket","true"
"bottoms","Karlowsky Unisex Pull-On Essential Trousers","Chef Works","40.11","EUR","0","Black|White","#ffffff","#0b1f3a","65% polyester & 35% cotton","Karlowsky Pull-On Trousers Essential - KY140 Twill weave, 150 g/m² Colourfast, easy-care, sustainable Unisex work trousers With elasticated waistband and cord for size adjustment Polyester content made from recycled plastic Particularly lightweight fabric for pleasant wearing comfort during everyday work 65% Polyester / 35% Cotton","woman|man","deck","","1","XS–5XL","shorts","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/2392653.jpg?v=1778961653","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/30042026122519.2392648.jpg?v=1778961648\"",\""White\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/2392653.jpg?v=1778961653\""}""","Wave Uniforms","https://www.waveuniforms.com/products/karlowsky-unisex-pull-on-trousers-essential","true"
"tops","Craft Ladies Active Nanoweight T-Shirt","Craft","57","EUR","0","Black|White","#ffffff","#0b1f3a","90% polyester recycled & 10% elastane","Superlight and cooling sleeveless mesh top that provides excellent temperature management during high-intensity workouts. • Tight fit • Thin, lightweight fabric that provides you with the best moisture transport • Recycled polyester for decreasing the environmental footprints • 103 gsm Material:90% Polyester Recycled, 10% Elastane","woman","interior|chief-stew","","1","XS–2XL","polo","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/1908853-1000_Active_Nanoweight_SL_W_Front.jpg?v=1778743840","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/1908853-9999_Active_Nanoweight_SL_W_Front.jpg?v=1778957780\"",\""White\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/1908853-1000_Active_Nanoweight_SL_W_Front.jpg?v=1778743840\""}""","Wave Uniforms","https://www.waveuniforms.com/products/craft-ladies-active-nanoweight-t-shirt","true"
"accessories","Result Adult Legionnaire Cap","Result","10.41","EUR","0","Beige Khaki|Green Olive","#d6c4a8","#0b1f3a","","5 panel Low profile Lined crown Stitched eyelets No centre seam Shock cord size adjuster Stitch-free pre-curved peak Face, neck and ear protection","woman|man","deck","","1","","cap","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/11052026120445.RC69_DesertKhaki.jpg?v=1778552456","""{\""Beige Khaki\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/11052026120445.RC69_DesertKhaki.jpg?v=1778552456\"",\""Green Olive\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/11052026120444.RC69_OliveMash.jpg?v=1778552449\""}""","Wave Uniforms","https://www.waveuniforms.com/products/result-adult-legionnaire-cap","true"
"tops","Gildan Ladies Softstyle tank top","Gildan","10","EUR","0","Black|Blue Navy|Grey Sport|White","#ffffff","#0b1f3a","","Everything about this pretty tank lives up to its name. It’s crafted of cotton that’s ringspun to create the tightly wrapped yarns responsible for its pleasing softness and strength. And when it comes to style, the fitted silhouette has a sleek-yet-comfortable look that’s totally on-trend.","woman","interior|chief-stew","","1","S–2XL","polo","https://cdn.shopify.com/s/files/1/0593/4320/8611/files/20042026103852.gd077_white_ft.jpg?v=1776681645","""{\""Black\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/20042026103855.gd077_black_ft.jpg?v=1776681645\"",\""Blue Navy\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/20042026103854.gd077_navy_ft.jpg?v=1776681645\"",\""Grey Sport\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/20042026103853.gd077_ringspunsportgrey_ft.jpg?v=1776681645\"",\""White\"":\""https://cdn.shopify.com/s/files/1/0593/4320/8611/files/20042026103852.gd077_white_ft.jpg?v=1776681645\""}""","Wave Uniforms","https://www.waveuniforms.com/products/gildan-ladies-softstyle-womens-tank-top","true"
