"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"bottoms","BR2 OFFSHORE TROUSERS 2.0","Musto","1900","AED","0","","#ffffff","#0b1f3a","","ABOUT 
 
 
 There's an offshore sailor in everyone with BR2. Featuring Musto's new hardcore BR2 Performance' fabric which offers exceptional 30k/15k waterproof protection, these trousers will keep you completely dry and are designed for intense and frequent, but short duration, offshore sailing expeditions. 
 
 
 
 
 COMPOSITION 
 
 
 Shell: 100% Cotton - Shell 2: 100% Polyester - Lining: 100%","woman|man","deck","","1","","shorts","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/BR2-OFFSHORE-TROUSERS-2-0-p518500500","true"
"outerwear","BR1 Inshore Jacket FW","Musto","1500","AED","0","","#ffffff","#0b1f3a","","This classic Musto jacket is designed to protect you from the unpredictable conditions often experienced when inshore sailing. It has a 2-layer fabrication that's waterproof and breathable to Musto's stringent BR1 standard and is mesh lined for additional comfort against your skin and improved air circulation. There's a double storm flap with a drainage channel covering the zip and an adjustable,","woman|man","deck","","1","","jacket","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/BR1-INSHORE-JACKET-FW-p518510295","true"
"bottoms","BR1 SHORTS","Musto","690","AED","0","","#ffffff","#0b1f3a","","Made to Musto's exemplary BR1 standard, these BR1 Shorts are ideal for wet decks in fair weather. A reinforced seat panel enhances durability when working on the boat, while a tricot brushed lining provides impressive comfort next to the skin. Elastication in the waist offers a tailored fit while taped seams throughout provide exceptionally dry wear. Available in two colours to complement your","woman|man","deck","","1","","shorts","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/BR1-SHORTS-p518510289","true"
"dresses","AUDREY DRESS","Marinepool","565","AED","0","","#ffffff","#0b1f3a","","SKU: 1004243 FABRIC: 85% polyester, 15% elastane FEATURES: Audrey – the only V–neck dress with additional epaulettes. The elegant dress was specially designed for the requirements of the female crew members of superyachts. It is the first uniform dress with epaulettes for rank signs on the market. The easy-care material and the optimal fit make this dress a highlight in modern crew clothing. A","woman|man","interior|chief-stew","","1","","dress","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/AUDREY-DRESS-p521711314","true"
"outerwear","BR2 OFFSHORE JACKET 2.0","Musto","2500","AED","0","","#ffffff","#0b1f3a","","ABOUT 
 
 
 Featuring Musto’s new hardcore ‘BR2 Performance’ fabric which not only offers 30k/15k waterproof protection, it also features our brand new durable DWR, ‘LDWR’ – a long lasting DWR developed using PFC-free chemistry, with a much higher wet abrasion resistance so the fabric stays drier for longer. With design nods to the iconic HPX such as the new spume guard, and an innovated collar","woman|man","deck","","1","","jacket","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/BR2-OFFSHORE-JACKET-2-0-p518513545","true"
"outerwear","BR1 INSHORE JACKET","Musto","1500","AED","0","","#ffffff","#0b1f3a","","The BR1 Coastal Jacket, with its taped seams and exceptional BR1 Musto fabric construction, supplies a superior level of waterproof and windproof protection. Double cuffs a storm flap zip guard and drawcord hem seal water out for exceptional dryness. The technical rollaway, fluorescent hood adds visibility as well as enhances the garment's waterproof protection. The two fleece-lined pockets and","woman|man","deck","","1","","jacket","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/BR1-INSHORE-JACKET-p518505399","true"
"accessories","AGT 32 GLOVES","Marinepool","199.68","AED","0","","#ffffff","#0b1f3a","","FABRIC: 60% polychloroprene, 16% polyamide, 12% amara, 12% PU FEATURES: AGT 32 – the long finger sailing glove with thermal insulation. Thanks to its excellent thermal insulation and Amara reinforcement, the AGT 32 long finger glove is particularly suitable for bad and cold weather. The contrasting stitching not only gives additional reinforcement but also a sportive note. With the help of the","woman|man","deck","","1","","cap","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/AGT-32-GLOVES-p524602249","true"
"tops","ACTIVE 2 T-SHIRT MEN","Marinepool","200","AED","0","","#ffffff","#0b1f3a","","FABRIC: 84% polyester, 16% spandex FEATURES: The light Active 2 T-Shirt in new high performance quality designed to keep you cool and dry on warm and hot days with quick dry, RUCO bac Med antiperspirant UVP 50+ protection, breathable, moisture wicking. The simple design with round neck and small reflected print at side seam, makes it easy to combine and is ideal for teams and crews or companies.","woman|man","deck","","1","","polo","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/ACTIVE-2-T-SHIRT-MEN-p524602233","true"
"bottoms","CARGO TEC TROUSERS MEN","Marinepool","445","AED","0","","#ffffff","#0b1f3a","","Fabric 90% polyamide, 10% elastane Features Whether for sailing or work wear - functional, lightweight trousers are always required. The 2-way stretch fabric offers the highest level of comfort and freedom of movement. Bar tags in contrast yarn and button stitching gives a modern and sporty look","woman|man","engineer","","1","","shorts","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/CARGO-TEC-TROUSERS-MEN-p524610830","true"
"tops","ACTIVE 2 LONG SLEEVE","Marinepool","240","AED","0","","#ffffff","#0b1f3a","","Fabric: 84% polyester, 16% spandex 
 Features: The light Active 2 long sleeve in new high performan�ce quality designed to keep you cool and dry on warm and hot days with quick dry, RUCO bac Med antiperspirant UVP 50+ protection, breathable, moisture wicking. The simple design with round neck and small reflected print at side seam, makes it easy to combine and is ideal for teams and crews or","woman|man","deck","","1","","polo","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/ACTIVE-2-LONG-SLEEVE-p524632004","true"
"shirts","CAPTAIN NON-IRON SHIRT WOMEN","Marinepool","320","AED","0","","#ffffff","#0b1f3a","","Crew Wear by Marinepool – the Captain Non-iron Shirt for women. Marinepool has a wide range of crew and work wear for yachts of all sizes. We also offer suitable workwear for women. Marinepool has developed the Captain blouse specifically for use on superyachts. In addition to the modern cut, the blouse has a front button placket, a Kent collar and two chest pockets and as well epaulettes. As a","woman|man","interior|chief-stew","","1","","shirt","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/CAPTAIN-NON-IRON-SHIRT-WOMEN-p524454797","true"
"chef-wear","CHEF JACKET LONG SLEEVE","Just Adore UAE","250","AED","0","","#ffffff","#0b1f3a","","Chef Coat 
 
 
 
Made from 60% Cotton, 40% Polyester, Twill weave. Everyday use. 
 
 FEATURES: 
 
 
 
 Light weight Fabric, Breathable, Soft Feel. 
 Fits True to size - Regular Fit 
 Machine Wash in Cold water, Wash Like colors Separate. 
 
 DESCRIPTION: 
 
 Content : 60% Cotton 40% Polyester 
 Unisex - Men & Women 
 GSM : 220 
 Fabric : Plain weave 
 Fit : Regular Fit","woman|man","chef","","1","","chef-jacket","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/CHEF-JACKET-LONG-SLEEVE-p526997738","true"
"shirts","BURT NON-IRON SHIRT MEN","Marinepool","322","AED","0","","#ffffff","#0b1f3a","","SKU: 1004149 FABRIC: 100% cotton (Oxford) FEATURES: Burt – the short-sleeved non-iron men's shirt from Marinepool. The classic shirt for hot summer days! The Burt Shirt comes in 100% cotton Oxford quality with innovative non-iron technology. A special feature of this technology is that even a 100% cotton shirt does not have to be ironed after washing and is still smooth. The premium shirt has a","woman|man","captain","","1","","shirt","[object Object]","{}","Waypoint UAE","https://waypointuae.com/products/BURT-NON-IRON-SHIRT-MEN-p521715525","true"
